,Course / Learning material,Source,Course Level,Type (Free or Paid),Module,"Module / Sub-module 
Difficulty level",Links,Keywords / Tags / Skills / Interests / Categories,Duration
1199,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Advanced NLP modelsQuiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/quizzes/363241,"NLP,Encoder,LLM,Transformer",10.0 minutes
1200,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Advanced NLP modelsReading list,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/documents/363242,"NLP,Encoder,LLM,Transformer",2.0 minutes
1201,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Course summary,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5304109/video/363243,"NLP,Encoder,LLM,Transformer",8.0 minutes
1202,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Recommendation Systems on Google Cloud,Medium to Hard,https://www.cloudskillsboost.google/course_templates/39,"Recommendation system,Cloud,",13.0 hours
1203,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Recommendation Systems on Google Cloud: Welcome to Recommendation Systems on Google Cloud,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325052,"Recommendation system,Cloud,",8.0 minutes
1204,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Recommendation Systems Overview,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325053,"Recommendation system,Cloud,",30.0 minutes
1205,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Recommendation Systems OverviewIntroduction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325053,"Recommendation system,Cloud,",5.0 minutes
1206,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Recommendation Systems OverviewTypes of Recommendation Systems,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325054,"Recommendation system,Cloud,",2.0 minutes
1207,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Recommendation Systems OverviewContent-Based or Collaborative,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325055,"Recommendation system,Cloud,",6.0 minutes
1208,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Recommendation Systems OverviewRecommendation System Pitfalls,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325056,"Recommendation system,Cloud,",3.0 minutes
1209,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Recommendation Systems OverviewDiscussion,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325057,"Recommendation system,Cloud,",1.0 minutes
1210,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Recommendation Systems OverviewReading: Recommendation Systems Overview,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/documents/325058,"Recommendation system,Cloud,",10.0 minutes
1211,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Recommendation Systems OverviewRecommendation Systems Overview,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/quizzes/325059,"Recommendation system,Cloud,",2.0 minutes
1212,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation Systems,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325060,"Recommendation system,Neural Network,content-based filtering,Users focused",214.0 minutes
1213,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation SystemsContent-Based Recommendation Systems,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325060,"Recommendation system,Neural Network,content-based filtering,Users focused",1.0 minutes
1214,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation SystemsSimilarity Measures,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325061,"Recommendation system,Neural Network,content-based filtering,Users focused",3.0 minutes
1215,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation SystemsBuilding a User Vector,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325062,"Recommendation system,Neural Network,content-based filtering,Users focused",3.0 minutes
1216,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation SystemsMaking Recommendations Using a User Vector,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325063,"Recommendation system,Neural Network,content-based filtering,Users focused",1.0 minutes
1217,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation SystemsMaking Recommendations for Many Users,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325064,"Recommendation system,Neural Network,content-based filtering,Users focused",6.0 minutes
1218,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation SystemsLab intro: Create a Content-Based Recommendation System,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325065,"Recommendation system,Neural Network,content-based filtering,Users focused",1.0 minutes
1219,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation SystemsImplementing a Content-Based Filtering using Low Level TensorFlow Operations,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/labs/325066,"Recommendation system,Neural Network,content-based filtering,Users focused",90.0 minutes
1220,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation SystemsUsing Neural Networks for Content-Based Recommendation Systems,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325067,"Recommendation system,Neural Network,content-based filtering,Users focused",4.0 minutes
1221,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation SystemsLab Intro: Create a Content-Based Recommendation System Using a Neural Network,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325068,"Recommendation system,Neural Network,content-based filtering,Users focused",1.0 minutes
1222,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation SystemsUsing Neural Networks for Content-Based Filtering,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/labs/325069,"Recommendation system,Neural Network,content-based filtering,Users focused",90.0 minutes
1223,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation SystemsSummary,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325070,"Recommendation system,Neural Network,content-based filtering,Users focused",2.0 minutes
1224,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation SystemsReadings: Content-Based Recommendation Systems,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/documents/325071,"Recommendation system,Neural Network,content-based filtering,Users focused",2.0 minutes
1225,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Content-Based Recommendation SystemsContent-Based Recommendation Systems Quiz,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/quizzes/325072,"Recommendation system,Neural Network,content-based filtering,Users focused",10.0 minutes
1226,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Collaborative Filtering Recommendations Systems,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325073,"Recommendation System,Embeddings,Factorization",194.0 minutes
1227,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Collaborative Filtering Recommendations SystemsTypes of User Feedback Data,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325073,"Recommendation System,Embeddings,Factorization",7.0 minutes
1228,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Collaborative Filtering Recommendations SystemsEmbedding Users and Items,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325074,"Recommendation System,Embeddings,Factorization",12.0 minutes
1229,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Collaborative Filtering Recommendations SystemsFactorization Approaches,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325075,"Recommendation System,Embeddings,Factorization",6.0 minutes
1230,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Collaborative Filtering Recommendations SystemsThe ALS Algorithm,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325076,"Recommendation System,Embeddings,Factorization",5.0 minutes
1231,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Collaborative Filtering Recommendations SystemsPreparing Input Data for ALS,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325077,"Recommendation System,Embeddings,Factorization",6.0 minutes
1232,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Collaborative Filtering Recommendations SystemsCreating Sparse Tensors For Efficient WALS Input,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325078,"Recommendation System,Embeddings,Factorization",3.0 minutes
1233,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Collaborative Filtering Recommendations SystemsInstantiating a WALS Estimator: From Input to Estimator,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325079,"Recommendation System,Embeddings,Factorization",5.0 minutes
1234,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Collaborative Filtering Recommendations SystemsInstantiating a WAL Estimator: Decoding TFRecords,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325080,"Recommendation System,Embeddings,Factorization",3.0 minutes
1235,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Collaborative Filtering Recommendations SystemsInstantiating a WALS Estimator: Recovering Keys,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325081,"Recommendation System,Embeddings,Factorization",12.0 minutes
1236,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Collaborative Filtering Recommendations SystemsInstantiating a WALS Estimator: Training and Prediction,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325082,"Recommendation System,Embeddings,Factorization",5.0 minutes
1237,Machine Learning Engineer Learning Path,Google Cloud Skill Boost,Intermediate to Advanced,Free during mentorship period,Collaborative Filtering Recommendations SystemsLab Intro: Collaborative Filtering with Google Analytics Data,Medium to Hard,https://www.cloudskillsboost.google/course_sessions/5303780/video/325083,"Recommendation System,Embeddings,Factorization",1.0 minutes
